ProblemType:	MC-CARP
NumberNodes:	191
NumberEdges:	267
DepotNodeNumber:	95
NumberOfFractions:	7
NumberOfIntervalsForFraction	General	1	14
NumberOfIntervalsForFraction	Glass	1	14
NumberOfIntervalsForFraction	Metal	1	14
NumberOfIntervalsForFraction	Plastic	1	14
NumberOfIntervalsForFraction	Organic	1	14
NumberOfIntervalsForFraction	Paper	1	14
NumberOfIntervalsForFraction	Cardboard	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
	Demand_1	Bins_1
	Demand_2	Bins_2
	Demand_3	Bins_3
	Demand_4	Bins_4
	Demand_5	Bins_5
	Demand_6	Bins_6
START
0	5	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	6	1	2	97	15476	28	0	0	0	0	0	0	0	0	0	0	0	0
2	7	3	4	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	11	5	6	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	12	7	8	204	2040	2	0	0	340	2	680	3	0	0	2040	4	5100	5
5	13	7	9	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	14	9	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	18	6	7	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	25	10	11	55	16940	20	0	0	1020	5	1275	5	0	0	3570	7	3570	7
9	26	12	10	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	28	13	14	99	40020	24	0	0	340	1	340	1	0	0	2040	4	5100	5
11	29	14	15	35	3104	1	1246	1	0	0	0	0	0	0	1020	2	3060	3
12	33	4	16	39	11724	29	0	0	0	0	0	0	0	0	0	0	0	0
13	36	16	9	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	49	17	18	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	50	18	19	17	10200	5	0	0	0	0	0	0	0	0	0	0	0	0
16	94	20	21	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	132	22	23	182	3910	13	0	0	446	5	391	6	1326	13	2193	16	1020	2
18	133	22	24	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	134	25	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	135	27	28	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	136	29	25	97	1632	4	0	0	80	2	110	3	306	3	153	3	0	0
22	137	26	27	102	1326	4	0	0	59	2	80	2	408	4	204	4	0	0
23	203	30	31	84	13880	18	0	0	510	2	765	3	0	0	1530	3	4080	8
24	204	32	33	96	2040	6	0	0	178	6	221	6	612	6	306	6	0	0
25	205	34	35	76	16380	10	0	0	425	2	255	1	0	0	1020	2	2040	4
26	206	33	34	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	209	36	37	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	211	38	39	56	15580	16	0	0	510	2	510	2	0	0	2040	4	5100	5
29	212	40	38	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	213	39	41	48	0	0	0	0	255	1	510	2	0	0	2040	4	2040	2
31	215	42	43	188	5372	17	0	0	148	5	148	5	1734	17	867	17	0	0
32	216	44	43	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	217	45	46	112	2040	6	0	0	119	4	148	5	918	9	306	6	0	0
34	218	47	48	207	15528	24	3003	2	765	3	510	2	0	0	3060	6	2040	4
35	219	48	49	98	12240	6	0	0	340	2	510	2	0	0	1020	2	1530	3
36	220	47	50	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	221	51	52	76	12240	6	0	0	340	2	680	3	0	0	1020	2	1020	2
38	222	53	54	238	24276	23	1870	1	505	7	794	9	1122	11	1581	13	2040	4
39	223	55	56	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	224	57	58	133	26871	22	0	0	1360	7	1700	6	0	0	3514	11	6630	10
41	225	59	17	356	21742	50	0	0	446	15	556	18	2699	45	1150	42	0	0
42	226	60	61	22	1020	1	0	0	0	0	0	0	0	0	0	0	0	0
43	227	61	62	162	10673	5	1870	1	399	3	569	3	0	0	4284	5	4420	5
44	230	63	64	180	0	0	935	1	1530	4	1785	5	0	0	3774	8	7930	9
45	231	65	66	23	306	1	0	0	29	1	29	1	102	1	51	1	0	0
46	232	67	65	105	1734	5	0	0	140	4	140	4	510	5	255	5	0	0
