NodeNumber,NodeId,x,y,latitude,longitude
0,0,594200,6135279,55.35479738417921,10.485796841331416
1,1,594230,6135364,55.35555517665156,10.486298454684038
2,2,594319,6135246,55.354478124914216,10.487661979674888
3,3,594695,6135487,55.35657068217776,10.493671765692312
4,4,594640,6135581,55.357425664740894,10.492836330434683
5,5,594638,6135634,55.35790214039937,10.492822712449085
6,6,594636,6135603,55.35762405758073,10.492780696341956
7,7,594573,6135700,55.35850752249141,10.491820087320994
8,10,594481,6135276,55.35471649227367,10.490226309067321
9,11,594466,6135325,55.35515953573742,10.49000633963442
10,12,594784,6135446,55.356185227430046,10.495061192002508
11,13,594847,6135435,55.356074260743036,10.496050807715779
12,14,594913,6135440,55.35610643183746,10.497093143766241
13,15,595376,6135431,55.35593594329295,10.504390316639045
14,16,595366,6135311,55.354859948565625,10.504191770177362
15,17,593067,6135756,55.359298119143524,10.468091446670888
16,18,593138,6135695,55.35873670700793,10.469190731975562
17,21,593298,6135581,55.35768229956374,10.471675700829213
18,22,593402,6135551,55.357393054672045,10.473305573304101
19,23,593419,6135597,55.35780303724088,10.473588979820004
20,24,593475,6135582,55.35765764386948,10.474466986651267
21,25,593515,6135519,55.357084109672286,10.475076664238507
22,26,593527,6135573,55.35756690303714,10.475283919486957
23,20,593952,6135240,55.35449452653868,10.481873567624648
24,27,594065,6135320,55.3551915410161,10.483682088252289
25,28,594109,6135312,55.35511125391759,10.484373148423138
26,29,594141,6135406,55.35594951505677,10.484909299667276
27,30,594244,6135403,55.355902823786494,10.486532323132653
28,79,595081,6135698,55.35839152028454,10.4998296752564
29,80,594921,6135594,55.357488241234506,10.4972714977983
30,81,595106,6135454,55.35619487662095,10.500140984812383
31,82,595141,6135455,55.35619708439384,10.500693180449575
32,83,595070,6135452,55.35618387700392,10.499572682294522
33,85,593242,6136122,55.36255269111156,10.470972912746664
34,86,593291,6136137,55.36267813276648,10.471750645274945
35,87,593429,6135949,55.36096312160141,10.473864154533073
36,88,593459,6135937,55.3608496210234,10.474333229177697
37,89,593216,6136019,55.36163238388775,10.47052858386092
38,90,593232,6136016,55.36160239918572,10.470779899399572
39,91,593471,6135934,55.360820389527525,10.474521459418312
40,92,593543,6135918,55.36066296030434,10.47565150337824
41,93,593438,6136033,55.3617159745279,10.474034123385724
42,94,593462,6136005,55.36145988815015,10.474403245318461
43,95,593578,6136129,55.36255168749146,10.476273978795248
44,96,593578,6136118,55.362452875601235,10.476270300557559
45,170,593193,6136107,55.362427244477175,10.470195185057754
46,171,593011,6135858,55.36022498275598,10.467242289906789
47,172,593009,6135861,55.360252310173934,10.467211748525576
48,173,592962,6135905,55.360656454395624,10.4664852120717
49,174,592965,6135760,55.35935336015672,10.46648435927247
50,179,593145,6136125,55.36259803985746,10.469444215791896
51,180,593129,6136128,55.3626280218504,10.469192892898798
52,181,593176,6136040,55.361828612890605,10.469904787918336
53,257,594433,6135233,55.35433945529027,10.48945499995584
54,258,594474,6135270,55.35466394087993,10.49011391696175
55,1058,593466,6135940,55.360875238169974,10.474444616451493
56,1059,593462,6135929,55.36077718708431,10.474377865732048
57,1201,594984,6135885,55.360090066619875,10.498363616719232
58,1202,595000,6135879,55.36003307642408,10.498613882177118
59,1203,594995,6135866,55.3599172665842,10.49853062580617
60,1238,593460,6136105,55.36235855936418,10.47440510126896
61,1239,593401,6136161,55.36287282244265,10.473493364434113
62,1278,595121,6135601,55.35751244627736,10.500427441856187
63,1279,595167,6135620,55.35767421288407,10.501159221199055
64,1923,593553,6135793,55.35953819324254,10.475767415280291
65,1924,593814,6135823,55.359757916069654,10.479893124665848
66,1926,593896,6135858,55.3600566536064,10.481197912967334
67,1927,593959,6135709,55.35870616102674,10.482141342039839
68,1928,593975,6135715,55.358756998510906,10.482395651387646
69,1930,593217,6136217,55.36341081272595,10.470610306524742
70,1931,593216,6136285,55.36402184104153,10.470617188099743
71,1936,593399,6135482,55.35677380346279,10.473235248703624
72,1937,593398,6135433,55.35633383043619,10.473203133680439
73,1938,593480,6135432,55.356309255548005,10.474495739040602
74,2803,594341,6135340,55.355318291197385,10.488040520864274
75,2804,594386,6135366,55.35554320463484,10.488758803145119
76,2805,594397,6135371,55.35558600606162,10.488933927442039
77,2806,595459,6135429,55.35590186170949,10.505698309854354
78,2807,595461,6135307,55.35480557288347,10.50568824697943
79,3051,595689,6135464,55.356171526815146,10.509336713133115
80,3052,595735,6135524,55.35670153360166,10.51008252351802
81,3053,595731,6135578,55.35718738240797,10.510037919523425
82,3054,595682,6135645,55.35779877163209,10.509288205491119
