ProblemType:	MC-CARP
NumberNodes:	454
NumberEdges:	502
DepotNodeNumber:	41
NumberOfFractions:	6
NumberOfIntervalsForFraction	General	1	14
NumberOfIntervalsForFraction	Organic	1	14
NumberOfIntervalsForFraction	Plastic	1	14
NumberOfIntervalsForFraction	Glass	1	14
NumberOfIntervalsForFraction	Metal	1	14
NumberOfIntervalsForFraction	Paper	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
	Demand_1	Bins_1
	Demand_2	Bins_2
	Demand_3	Bins_3
	Demand_4	Bins_4
	Demand_5	Bins_5
START
0	138	0	1	22	1137	17	230	17	294	17	41	17	109	17	510	2
1	143	2	3	119	0	0	0	0	0	0	0	0	0	0	0	0
2	146	4	5	65	459	7	112	7	152	7	16	7	52	7	518	4
3	147	6	7	27	220	1	43	1	50	1	7	1	20	1	102	1
4	148	7	8	10	0	0	0	0	0	0	0	0	0	0	0	0
5	149	9	10	10	56	1	14	1	18	1	1	1	5	1	0	0
6	154	11	12	39	1667	4	297	4	537	4	59	4	194	4	612	3
7	155	13	14	10	114	2	26	2	34	2	3	2	10	2	0	0
8	156	14	15	37	56	1	14	1	18	1	1	1	5	1	765	3
9	164	5	16	30	128	2	20	2	24	2	3	2	12	2	0	0
10	165	16	17	17	109	2	30	2	34	2	3	2	11	2	0	0
11	166	18	19	98	1063	7	274	7	384	7	42	7	124	7	467	5
12	167	19	20	19	0	0	0	0	0	0	0	0	0	0	0	0
13	168	21	22	12	0	0	0	0	0	0	0	0	0	0	0	0
14	169	22	23	33	140	1	21	1	29	1	3	1	11	1	102	1
15	172	24	25	131	1022	7	274	7	301	7	40	7	114	7	629	7
16	173	25	26	9	0	0	0	0	0	0	0	0	0	0	0	0
17	174	26	27	16	120	1	30	1	40	1	3	1	11	1	102	1
18	175	27	28	77	1826	12	431	12	637	12	75	12	210	12	1181	12
19	302	13	29	64	1779	3	390	3	627	3	68	3	196	3	102	1
20	303	30	31	6	0	0	0	0	0	0	0	0	0	0	0	0
21	304	31	32	9	125	2	22	2	26	2	3	2	11	2	0	0
22	305	1	33	48	238	4	50	4	57	4	7	4	23	4	510	2
23	306	33	8	24	229	4	62	4	52	4	8	4	23	4	0	0
24	307	34	35	7	0	0	0	0	0	0	0	0	0	0	0	0
25	308	35	36	32	123	2	23	2	27	2	3	2	11	2	0	0
26	309	36	37	6	0	0	0	0	0	0	0	0	0	0	0	0
27	310	37	9	34	261	5	77	5	93	5	10	5	27	5	0	0
28	336	38	39	624	0	0	0	0	0	0	0	0	0	0	0	0
29	338	29	40	17	441	1	71	1	110	1	15	1	43	1	255	1
