ProblemType:	MC-CARP
NumberNodes:	10352
NumberEdges:	11943
DepotNodeNumber:	6522
NumberOfFractions:	6
NumberOfIntervalsForFraction	General	1	14
NumberOfIntervalsForFraction	Organic	1	14
NumberOfIntervalsForFraction	Plastic	1	14
NumberOfIntervalsForFraction	Glass	1	14
NumberOfIntervalsForFraction	Metal	1	14
NumberOfIntervalsForFraction	Paper	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
	Demand_1	Bins_1
	Demand_2	Bins_2
	Demand_3	Bins_3
	Demand_4	Bins_4
	Demand_5	Bins_5
START
0	0	0	1	90	253	3	47	3	53	3	8	3	22	3	92	3
1	1	0	2	124	382	4	111	4	126	4	15	4	46	4	97	4
2	2	3	4	113	428	4	89	4	111	4	15	4	46	4	323	4
3	3	5	6	31	109	1	18	1	24	1	2	1	9	1	81	1
4	4	7	5	93	670	6	133	6	210	6	25	6	76	6	426	9
5	6	8	9	50	347	4	68	4	88	4	11	4	30	4	97	4
6	7	3	10	99	208	2	40	2	50	2	6	2	19	2	11	2
7	8	11	12	66	503	5	83	5	149	5	18	5	46	5	248	4
8	9	13	14	120	1001	11	297	11	359	11	39	11	115	11	576	9
9	10	15	16	94	615	7	114	7	207	7	23	7	70	7	259	6
10	12	17	18	108	597	7	178	7	201	7	23	7	64	7	339	7
11	13	19	20	59	296	3	56	3	94	3	10	3	29	3	242	3
12	14	21	22	55	1247	12	240	12	333	12	47	12	114	12	71	13
13	15	23	24	143	0	0	0	0	0	0	0	0	0	0	0	0
14	16	25	0	97	760	7	207	7	260	7	30	7	86	7	334	6
15	17	26	25	100	298	3	66	3	83	3	10	3	28	3	242	3
16	18	1	26	99	420	4	86	4	121	4	15	4	47	4	248	4
17	19	1	27	41	535	5	83	5	145	5	18	5	52	5	27	5
18	20	28	29	52	0	0	0	0	0	0	0	0	0	0	0	0
19	21	30	31	554	110	1	20	1	20	1	2	1	10	1	81	1
20	22	32	33	79	332	4	55	4	108	4	12	4	37	4	248	4
21	23	34	35	9	0	0	0	0	0	0	0	0	0	0	0	0
22	24	36	37	139	1110	14	239	14	243	14	38	14	121	14	303	14
23	25	38	32	126	1119	14	271	14	376	14	46	14	135	14	453	14
24	26	39	34	59	0	0	0	0	0	0	0	0	0	0	0	0
25	27	40	41	55	399	4	72	4	75	4	13	4	36	4	248	4
26	28	42	43	161	1400	15	286	15	279	15	50	15	153	15	754	14
27	29	44	45	164	1230	16	311	16	303	16	46	16	133	16	534	15
28	30	46	47	51	197	2	36	2	62	2	6	2	22	2	161	2
29	31	48	47	97	841	9	199	9	241	9	32	9	81	9	426	9
30	32	49	48	25	180	2	31	2	41	2	5	2	15	2	11	2
31	33	50	49	54	167	2	42	2	43	2	5	2	15	2	86	2
32	34	51	52	62	103	1	21	1	27	1	2	1	9	1	81	1
33	35	52	53	7	0	0	0	0	0	0	0	0	0	0	0	0
34	36	53	54	51	74	1	11	1	20	1	1	1	5	1	5	1
35	37	54	55	75	192	2	46	2	50	2	6	2	21	2	86	2
36	38	56	57	139	1074	13	276	13	238	13	37	13	109	13	222	13
37	39	58	59	102	934	10	220	10	296	10	37	10	103	10	356	10
38	40	60	61	96	737	8	198	8	207	8	28	8	71	8	420	8
39	41	62	63	29	183	2	27	2	40	2	5	2	17	2	86	2
40	42	64	65	27	0	0	0	0	0	0	0	0	0	0	0	0
41	43	66	64	141	1299	13	306	13	386	13	49	13	128	13	668	12
42	44	57	67	83	862	10	208	10	169	10	30	10	83	10	205	10
43	45	59	68	123	963	10	160	10	318	10	37	10	103	10	356	10
44	46	61	69	135	1198	14	221	14	409	14	46	14	124	14	453	14
45	47	70	71	143	1454	16	257	16	372	16	51	16	136	16	540	16
46	48	63	72	47	105	1	18	1	27	1	2	1	10	1	81	1
47	49	72	73	51	165	2	29	2	55	2	5	2	18	2	86	2
48	50	59	57	72	105	1	18	1	29	1	2	1	8	1	81	1
49	51	73	74	23	101	1	25	1	25	1	2	1	9	1	81	1
50	52	75	30	361	66	1	17	1	21	1	1	1	6	1	5	1
51	53	76	77	190	1679	20	425	20	511	20	63	20	187	20	562	20
52	54	78	79	35	0	0	0	0	0	0	0	0	0	0	0	0
53	55	80	78	36	101	1	23	1	27	1	2	1	9	1	5	1
54	57	83	84	51	822	7	125	7	150	7	26	7	84	7	189	7
55	58	85	86	32	4312	2	853	2	1153	2	163	2	439	2	935	3
56	59	87	88	16	247	2	40	2	47	2	7	2	25	2	11	2
57	60	89	90	74	201	2	44	2	52	2	6	2	20	2	86	2
58	61	91	92	37	496	4	97	4	109	4	16	4	47	4	172	4
59	62	93	94	10	260	2	46	2	68	2	8	2	26	2	0	0
60	63	95	96	379	424	5	76	5	103	5	14	5	38	5	253	5
61	64	94	90	203	72	1	11	1	21	1	1	1	6	1	5	1
62	67	98	99	79	99	1	23	1	30	1	2	1	8	1	5	1
63	69	101	102	37	130	1	29	1	30	1	3	1	12	1	81	1
64	70	102	103	58	486	4	123	4	140	4	18	4	49	4	97	4
65	71	101	104	37	192	2	36	2	61	2	6	2	20	2	86	2
66	72	105	106	50	359	4	80	4	107	4	13	4	36	4	248	4
67	73	107	108	43	570	5	120	5	119	5	18	5	57	5	248	4
68	74	109	110	36	401	4	105	4	113	4	15	4	46	4	248	4
69	75	109	111	79	729	10	195	10	225	10	29	10	80	10	205	10
70	76	109	112	71	226	2	57	2	55	2	7	2	21	2	86	2
71	77	113	114	21	102	1	17	1	32	1	2	1	9	1	81	1
72	78	115	113	34	305	3	52	3	77	3	9	3	33	3	242	3
73	79	116	115	66	294	3	54	3	97	3	10	3	30	3	242	3
74	80	117	118	24	580	6	101	6	163	6	20	6	54	6	334	6
75	81	118	119	21	0	0	0	0	0	0	0	0	0	0	0	0
76	82	120	115	110	647	5	122	5	206	5	25	5	71	5	328	5
77	83	121	122	66	103	1	26	1	21	1	2	1	10	1	81	1
78	84	123	124	43	0	0	0	0	0	0	0	0	0	0	0	0
79	85	125	126	43	132	1	23	1	33	1	3	1	13	1	81	1
80	86	127	126	11	68	1	17	1	20	1	1	1	5	1	5	1
81	87	126	128	25	363	4	65	4	73	4	12	4	31	4	172	4
82	88	125	129	24	337	4	62	4	101	4	12	4	32	4	172	4
83	89	130	131	44	524	7	138	7	139	7	20	7	55	7	114	7
84	90	132	133	101	0	0	0	0	0	0	0	0	0	0	0	0
85	91	132	134	50	98	1	22	1	31	1	2	1	9	1	0	0
86	92	135	136	168	1155	12	219	12	261	12	38	12	104	12	517	12
87	93	137	138	38	257	3	58	3	84	3	9	3	26	3	167	3
88	94	138	139	9	202	2	37	2	56	2	6	2	22	2	161	2
89	96	113	142	240	536	6	138	6	116	6	19	6	50	6	183	6
90	97	143	142	17	0	0	0	0	0	0	0	0	0	0	0	0
91	98	144	145	48	95	1	26	1	29	1	2	1	10	1	81	1
92	99	146	145	32	222	3	57	3	70	3	8	3	26	3	242	3
93	100	145	147	6	0	0	0	0	0	0	0	0	0	0	0	0
94	101	147	148	42	185	2	51	2	54	2	6	2	19	2	11	2
95	102	147	149	30	170	2	28	2	53	2	5	2	16	2	86	2
96	103	149	150	44	371	4	84	4	79	4	12	4	41	4	172	4
97	104	148	151	24	211	3	50	3	44	3	7	3	20	3	92	3
98	105	152	153	84	282	4	57	4	64	4	9	4	30	4	22	4
99	106	154	155	54	340	4	80	4	120	4	13	4	34	4	97	4
100	107	154	156	52	405	4	97	4	83	4	14	4	39	4	172	4
101	108	157	154	35	195	2	52	2	49	2	6	2	21	2	86	2
102	109	157	158	49	473	5	103	5	103	5	17	5	52	5	178	5
103	110	159	160	29	650	7	131	7	178	7	22	7	73	7	114	7
104	111	161	162	32	229	3	58	3	67	3	8	3	21	3	92	3
105	112	163	104	56	127	1	25	1	36	1	3	1	13	1	81	1
106	113	144	163	8	0	0	0	0	0	0	0	0	0	0	0	0
107	114	149	164	22	376	5	105	5	119	5	14	5	41	5	97	4
108	115	102	165	47	336	4	74	4	88	4	12	4	34	4	172	4
109	116	166	83	51	418	4	98	4	109	4	15	4	40	4	16	3
110	117	167	168	4	69	1	17	1	18	1	1	1	6	1	5	1
111	118	169	168	64	95	1	25	1	30	1	2	1	10	1	5	1
112	119	167	170	108	373	4	103	4	113	4	13	4	36	4	172	4
113	120	15	170	102	128	2	33	2	42	2	4	2	14	2	11	2
114	121	171	133	112	347	1	57	1	64	1	11	1	31	1	0	0
115	122	172	173	188	0	0	0	0	0	0	0	0	0	0	0	0
116	123	173	174	100	679	4	115	4	123	4	22	4	56	4	172	4
117	124	175	166	51	0	0	0	0	0	0	0	0	0	0	0	0
118	125	176	177	115	1120	9	307	9	355	9	42	9	114	9	363	7
119	127	178	179	164	1417	15	228	15	405	15	49	15	154	15	609	15
120	128	179	45	43	0	0	0	0	0	0	0	0	0	0	0	0
121	129	180	181	30	0	0	0	0	0	0	0	0	0	0	0	0
122	130	182	183	31	0	0	0	0	0	0	0	0	0	0	0	0
123	131	184	185	183	1524	18	320	18	506	18	59	18	167	18	626	18
124	132	186	187	80	251	3	60	3	87	3	9	3	27	3	167	3
125	133	188	189	165	1425	16	333	16	411	16	51	16	135	16	609	15
126	134	190	181	165	1630	15	309	15	323	15	58	15	162	15	378	14
127	135	180	191	233	0	0	0	0	0	0	0	0	0	0	0	0
128	136	192	193	53	713	8	152	8	156	8	25	8	76	8	44	8
129	137	194	187	26	218	3	56	3	75	3	8	3	26	3	86	2
130	138	195	196	48	0	0	0	0	0	0	0	0	0	0	0	0
131	139	197	182	146	1198	13	248	13	281	13	44	13	108	13	523	13
132	140	198	199	165	1528	15	332	15	322	15	54	15	153	15	604	14
133	141	200	189	16	0	0	0	0	0	0	0	0	0	0	0	0
134	142	201	202	164	1134	14	267	14	229	14	40	14	124	14	453	14
135	144	203	204	128	1395	12	260	12	313	12	47	12	136	12	743	12
136	145	205	206	24	0	0	0	0	0	0	0	0	0	0	0	0
137	146	207	208	164	1677	17	307	17	353	17	60	17	179	17	540	16
138	147	209	210	164	1587	16	325	16	347	16	58	16	140	16	765	16
139	148	211	210	37	192	2	50	2	53	2	6	2	22	2	0	0
140	149	212	208	32	0	0	0	0	0	0	0	0	0	0	0	0
141	150	206	212	43	4792	2	1221	2	1386	2	187	2	574	2	425	1
142	151	213	206	101	1350	16	226	16	354	16	45	16	142	16	233	15
143	152	214	215	6	0	0	0	0	0	0	0	0	0	0	0	0
144	153	216	217	43	223	3	57	3	71	3	8	3	24	3	92	3
145	154	218	219	23	303	3	62	3	83	3	10	3	27	3	242	3
146	155	219	220	9	101	1	21	1	28	1	2	1	10	1	81	1
147	156	221	222	17	848	9	147	9	239	9	30	9	79	9	350	9
148	157	223	224	52	530	5	112	5	138	5	18	5	52	5	328	5
149	159	214	225	39	207	2	42	2	49	2	6	2	19	2	161	2
150	160	214	227	75	369	4	98	4	81	4	12	4	35	4	172	4
151	161	228	227	39	205	2	35	2	58	2	6	2	19	2	161	2
152	162	227	224	22	97	1	22	1	31	1	2	1	10	1	81	1
153	163	224	229	44	834	7	146	7	205	7	29	7	87	7	565	7
154	164	230	231	446	705	6	198	6	169	6	27	6	83	6	253	5
155	165	232	233	9	0	0	0	0	0	0	0	0	0	0	0	0
156	166	234	235	33	76	1	14	1	14	1	1	1	6	1	5	1
157	167	234	236	41	266	3	58	3	65	3	9	3	27	3	92	3
158	168	237	143	63	78	1	11	1	15	1	1	1	6	1	81	1
159	169	238	239	38	1885	5	541	5	660	5	74	5	240	5	81	1
160	170	240	241	111	542	6	119	6	180	6	21	6	56	6	334	6
161	171	240	242	37	0	0	0	0	0	0	0	0	0	0	0	0
162	172	243	240	60	0	0	0	0	0	0	0	0	0	0	0	0
