ProblemType:	MC-CARP
NumberNodes:	25
NumberEdges:	31
DepotNodeNumber:	7
NumberOfFractions:	4
NumberOfIntervalsForFraction	Paper	1	14
NumberOfIntervalsForFraction	Glass	1	14
NumberOfIntervalsForFraction	Plastic	1	14
NumberOfIntervalsForFraction	Metal	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
	Demand_1	Bins_1
	Demand_2	Bins_2
	Demand_3	Bins_3
START
0	133	0	1	22	0	0	0	0	0	0	0	0
1	222	2	3	238	1581	13	1870	1	794	9	505	7
2	414	4	5	77	2040	4	0	0	510	2	255	1
3	418	6	7	81	3570	7	0	0	1020	4	510	2
4	419	6	5	18	0	0	0	0	0	0	0	0
5	420	8	3	94	408	2	0	0	102	1	102	1
6	421	9	10	12	0	0	0	0	0	0	0	0
7	423	7	10	89	0	0	0	0	0	0	0	0
8	424	9	8	94	0	0	0	0	0	0	0	0
9	464	11	12	142	357	7	0	0	89	3	59	2
10	797	10	11	86	2040	4	0	0	1105	3	1190	3
11	800	11	13	104	510	10	0	0	119	4	119	4
12	814	8	12	88	1122	4	0	0	816	5	425	2
13	842	9	2	79	1275	4	0	0	272	2	357	2
14	847	14	15	15	0	0	0	0	0	0	0	0
15	848	16	14	64	0	0	0	0	0	0	0	0
16	851	6	16	197	1071	3	3740	1	204	2	340	2
17	858	7	17	78	102	2	0	0	59	2	29	1
18	859	15	0	8	102	2	0	0	29	1	29	1
19	860	1	14	14	0	0	0	0	0	0	0	0
20	861	17	1	140	2193	7	0	0	425	2	454	3
21	878	7	18	85	0	0	3740	1	0	0	0	0
22	887	19	20	87	153	3	0	0	80	2	80	2
23	888	21	4	85	0	0	0	0	0	0	0	0
24	891	22	18	72	4182	6	0	0	824	5	484	4
25	892	22	6	85	0	0	0	0	0	0	0	0
26	893	5	23	85	0	0	0	0	0	0	0	0
27	894	24	21	44	102	2	0	0	58	2	58	2
28	897	21	19	74	153	3	0	0	29	1	29	1
29	898	22	23	18	0	0	0	0	0	0	0	0
30	899	23	19	3	0	0	0	0	0	0	0	0
END					
-----------------------------------------					
InputUsedToGenerateTheGraph:					
County:	Frederiksberg				
CenterNodeId:	478				
Radius:	300				
HouseTypes:	Normal	Summer	Apartment		
NumberOfWasteFractions: 4					
IntervalsForWasteFraction:	paper	7.0	14.0	56.0	
IntervalsForWasteFraction:	glass	7.0	14.0	21.0	28.0
IntervalsForWasteFraction:	plastic	7.0	14.0	28.0	56.0
IntervalsForWasteFraction:	metal	7.0	14.0	28.0	56.0
-----------------------------------------					


