ProblemType:	MC-CARP
NumberNodes:	80
NumberEdges:	110
DepotNodeNumber:	35
NumberOfFractions:	2
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	1	14
NumberOfIntervalsForFraction	Paper	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
	Demand_1	Bins_1
START
0	25	0	1	55	19235	30	3570	7
1	26	2	0	50	0	0	0	0
2	49	3	4	54	0	0	0	0
3	50	4	5	17	10200	5	0	0
4	132	6	7	182	6073	37	2193	16
5	133	6	8	22	0	0	0	0
6	134	9	10	26	0	0	0	0
7	135	11	12	40	0	0	0	0
8	136	13	9	97	2128	12	153	3
9	137	10	11	102	1873	12	204	4
10	211	14	15	56	16600	20	2040	4
11	212	16	14	56	0	0	0	0
12	213	15	17	48	765	3	2040	4
13	215	18	19	188	7402	44	867	17
14	216	20	19	13	0	0	0	0
15	217	21	22	112	3225	24	306	6
16	222	23	24	238	28567	51	1581	13
17	224	25	26	133	29931	35	3514	11
18	225	27	3	356	25443	128	1150	42
19	226	28	29	22	1020	1	0	0
20	408	30	31	23	0	0	0	0
21	414	32	33	77	15873	14	2040	4
22	415	32	30	22	0	0	0	0
23	416	25	31	33	0	0	0	0
24	418	34	35	81	16318	32	3570	7
25	419	34	33	18	0	0	0	0
26	420	36	24	94	1734	7	408	2
27	421	37	38	12	0	0	0	0
28	422	39	25	57	17255	12	1020	2
29	423	35	38	89	0	0	0	0
30	424	37	36	94	0	0	0	0
31	425	40	41	141	16104	54	3570	7
32	464	42	16	142	3208	19	357	7
33	486	43	2	89	0	0	0	0
34	487	39	2	25	0	0	0	0
35	488	40	24	40	0	0	0	0
36	498	10	44	103	1576	7	153	3
37	501	45	46	179	0	0	0	0
38	502	44	39	89	0	0	0	0
39	503	9	47	112	1843	13	102	2
40	504	48	9	146	2339	12	153	3
41	508	45	10	153	2218	16	255	5
42	511	47	2	88	0	0	0	0
43	513	3	49	67	25062	12	510	1
44	515	7	50	8	6757	7	0	0
45	525	28	7	87	6208	2	204	1
46	526	51	52	44	0	0	0	0
47	527	52	28	28	0	0	0	0
48	528	53	51	35	15088	16	2550	5
49	534	50	3	105	12920	13	510	1
50	789	54	20	140	24834	8	0	0
51	790	55	19	141	2282	17	182	4
52	792	46	56	90	1020	4	102	2
53	796	54	56	7	0	0	0	0
54	797	38	42	86	19439	25	2040	4
55	800	42	57	104	5134	30	510	10
56	801	57	55	180	8194	51	867	17
57	802	56	55	6	0	0	0	0
58	803	40	15	83	8976	11	0	0
59	804	15	22	150	8160	8	204	1
60	806	18	58	115	1812	14	204	4
61	807	57	18	69	3944	26	459	9
62	809	58	21	40	918	6	102	2
63	811	16	58	109	7240	34	459	9
64	812	21	59	75	1844	16	204	4
65	814	36	16	88	16949	21	1122	4
66	817	41	60	81	0	0	0	0
67	819	61	60	105	12240	9	510	1
68	822	40	61	88	0	0	0	0
69	823	61	62	116	21012	16	1224	3
70	841	23	63	250	12684	77	965	25
71	842	37	23	79	16337	15	1275	4
72	847	64	65	15	0	0	0	0
73	848	66	64	64	0	0	0	0
74	849	26	67	84	0	0	0	0
75	850	67	66	79	16305	11	1020	2
76	851	34	66	197	14654	14	1071	3
77	852	66	53	191	26283	17	3060	6
78	853	68	69	49	24008	56	4080	8
79	854	67	68	115	15219	13	1020	2
80	855	30	67	160	27446	19	2550	5
81	858	35	27	78	904	7	102	2
82	859	65	6	8	874	6	102	2
83	860	8	64	14	0	0	0	0
84	861	27	8	140	19579	26	2193	7
85	862	65	52	165	18021	39	5100	6
86	869	70	13	142	6199	34	510	10
87	871	43	70	85	14848	15	2091	5
88	878	35	71	85	3740	1	0	0
89	879	72	46	39	0	0	0	0
90	880	71	72	247	4870	27	510	10
91	884	73	74	82	1822	11	204	4
92	885	12	73	77	2616	18	204	4
93	886	11	73	81	1006	7	102	2
94	887	75	12	87	2880	11	153	3
95	888	76	32	85	0	0	0	0
96	889	31	77	85	2040	2	0	0
97	890	47	44	27	0	0	0	0
98	891	78	71	72	17288	21	4182	6
99	892	78	34	85	0	0	0	0
100	893	33	79	85	0	0	0	0
101	894	77	76	44	1578	9	102	2
102	895	44	77	62	1428	5	51	1
103	896	70	47	93	2625	11	153	3
104	897	76	75	74	1384	8	153	3
105	898	78	79	18	0	0	0	0
106	899	79	75	3	0	0	0	0
107	900	48	45	27	0	0	0	0
108	901	74	72	63	437	3	51	1
109	902	45	74	93	398	4	51	1
END					
-----------------------------------------					
InputUsedToGenerateTheGraph:					
County:	Frederiksberg				
CenterNodeId:	478				
Radius:	550				
HouseTypes:	Normal	Summer	Apartment		
NumberOfWasteFractions: 6					
IntervalsForWasteFraction:	general	2.3	3.5	7.0	
IntervalsForWasteFraction:	glass	7.0	14.0	21.0	28.0
IntervalsForWasteFraction:	metal	7.0	14.0	28.0	56.0
IntervalsForWasteFraction:	plastic	7.0	14.0	28.0	56.0
IntervalsForWasteFraction:	organic	28.0			
IntervalsForWasteFraction:	paper	7.0	14.0	56.0	
-----------------------------------------					


