ProblemType:	MC-CARP
NumberNodes:	80
NumberEdges:	110
DepotNodeNumber:	35
NumberOfFractions:	6
NumberOfIntervalsForFraction	General	1	14
NumberOfIntervalsForFraction	Organic	1	14
NumberOfIntervalsForFraction	Plastic	1	14
NumberOfIntervalsForFraction	Glass	1	14
NumberOfIntervalsForFraction	Metal	1	14
NumberOfIntervalsForFraction	Paper	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
	Demand_1	Bins_1
	Demand_2	Bins_2
	Demand_3	Bins_3
	Demand_4	Bins_4
	Demand_5	Bins_5
START
0	25	0	1	55	16940	20	0	0	1275	5	0	0	1020	5	3570	7
1	26	2	0	50	0	0	0	0	0	0	0	0	0	0	0	0
2	49	3	4	54	0	0	0	0	0	0	0	0	0	0	0	0
3	50	4	5	17	10200	5	0	0	0	0	0	0	0	0	0	0
4	132	6	7	182	3910	13	1326	13	391	6	0	0	446	5	2193	16
5	133	6	8	22	0	0	0	0	0	0	0	0	0	0	0	0
6	134	9	10	26	0	0	0	0	0	0	0	0	0	0	0	0
7	135	11	12	40	0	0	0	0	0	0	0	0	0	0	0	0
8	136	13	9	97	1632	4	306	3	110	3	0	0	80	2	153	3
9	137	10	11	102	1326	4	408	4	80	2	0	0	59	2	204	4
10	211	14	15	56	15580	16	0	0	510	2	0	0	510	2	2040	4
11	212	16	14	56	0	0	0	0	0	0	0	0	0	0	0	0
12	213	15	17	48	0	0	0	0	510	2	0	0	255	1	2040	4
13	215	18	19	188	5372	17	1734	17	148	5	0	0	148	5	867	17
14	216	20	19	13	0	0	0	0	0	0	0	0	0	0	0	0
15	217	21	22	112	2040	6	918	9	148	5	0	0	119	4	306	6
16	222	23	24	238	24276	23	1122	11	794	9	1870	1	505	7	1581	13
17	224	25	26	133	26871	22	0	0	1700	6	0	0	1360	7	3514	11
18	225	27	3	356	21742	50	2699	45	556	18	0	0	446	15	1150	42
19	226	28	29	22	1020	1	0	0	0	0	0	0	0	0	0	0
20	408	30	31	23	0	0	0	0	0	0	0	0	0	0	0	0
21	414	32	33	77	15108	11	0	0	510	2	0	0	255	1	2040	4
22	415	32	30	22	0	0	0	0	0	0	0	0	0	0	0	0
23	416	25	31	33	0	0	0	0	0	0	0	0	0	0	0	0
24	418	34	35	81	14788	26	0	0	1020	4	0	0	510	2	3570	7
25	419	34	33	18	0	0	0	0	0	0	0	0	0	0	0	0
26	420	36	24	94	1530	5	0	0	102	1	0	0	102	1	408	2
27	421	37	38	12	0	0	0	0	0	0	0	0	0	0	0	0
28	422	39	25	57	16320	8	0	0	510	2	0	0	425	2	1020	2
29	423	35	38	89	0	0	0	0	0	0	0	0	0	0	0	0
30	424	37	36	94	0	0	0	0	0	0	0	0	0	0	0	0
31	425	40	41	141	14064	46	0	0	1020	4	0	0	1020	4	3570	7
32	464	42	16	142	2346	7	714	7	89	3	0	0	59	2	357	7
33	486	43	2	89	0	0	0	0	0	0	0	0	0	0	0	0
34	487	39	2	25	0	0	0	0	0	0	0	0	0	0	0	0
35	488	40	24	40	0	0	0	0	0	0	0	0	0	0	0	0
36	498	10	44	103	1292	3	204	2	51	1	0	0	29	1	153	3
37	501	45	46	179	0	0	0	0	0	0	0	0	0	0	0	0
38	502	44	39	89	0	0	0	0	0	0	0	0	0	0	0	0
39	503	9	47	112	1122	3	510	5	182	4	0	0	29	1	102	2
40	504	48	9	146	1836	3	306	3	109	3	0	0	88	3	153	3
41	508	45	10	153	1530	5	510	5	89	3	0	0	89	3	255	5
42	511	47	2	88	0	0	0	0	0	0	0	0	0	0	0	0
