ProblemType:	MC-CARP
NumberNodes:	415
NumberEdges:	565
DepotNodeNumber:	206
NumberOfFractions:	3
NumberOfIntervalsForFraction	General_Organic	1	14
NumberOfIntervalsForFraction	Glass_Metal_Plastic	1	14
NumberOfIntervalsForFraction	Paper	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
	Demand_1	Bins_1
	Demand_2	Bins_2
START
0	0	0	1	118	0	0	0	0	0	0
1	5	2	3	15	0	0	0	0	0	0
2	6	3	4	97	15476	28	0	0	0	0
3	7	5	6	89	0	0	0	0	0	0
4	11	7	8	54	0	0	0	0	0	0
5	12	9	10	204	2040	2	1020	5	2040	4
6	13	9	11	10	0	0	0	0	0	0
7	14	11	8	10	0	0	0	0	0	0
8	25	12	13	55	16940	20	2295	10	3570	7
9	26	14	12	50	0	0	0	0	0	0
10	27	15	16	174	8160	4	2181	5	2550	5
11	28	17	15	99	40020	24	680	2	2040	4
12	29	15	18	35	3104	1	1246	1	1020	2
13	30	19	20	119	4420	5	1836	10	2754	6
14	31	21	19	55	0	0	0	0	0	0
15	32	19	22	141	0	0	0	0	0	0
16	33	6	23	39	11724	29	0	0	0	0
17	36	23	11	17	0	0	0	0	0	0
18	38	24	25	215	10574	28	1198	16	1377	15
19	39	25	26	484	15910	87	1935	38	2052	43
20	41	27	28	3	0	0	1700	1	0	0
21	42	28	29	162	0	0	0	0	0	0
22	49	30	31	54	0	0	0	0	0	0
23	50	31	32	17	10200	5	0	0	0	0
24	54	33	34	86	0	0	0	0	0	0
25	59	35	36	107	7308	9	612	4	1020	2
26	60	34	37	63	0	0	0	0	0	0
27	62	37	38	23	0	0	0	0	0	0
28	63	39	40	79	0	0	0	0	0	0
29	68	38	41	84	16184	16	629	4	1122	4
30	71	42	43	69	0	0	0	0	0	0
31	72	43	39	6	0	0	0	0	0	0
32	73	41	42	22	8500	5	595	3	1020	2
33	75	40	44	213	8302	12	1156	8	2040	4
34	76	36	33	45	0	0	0	0	0	0
35	94	45	46	105	0	0	0	0	0	0
36	95	47	48	6	0	0	0	0	0	0
37	121	49	50	105	0	0	0	0	0	0
38	123	51	52	122	0	0	0	0	0	0
39	124	53	52	107	24384	10	1734	11	816	4
40	125	54	55	111	1734	7	118	4	153	3
41	126	55	56	91	4488	4	330	4	561	2
42	127	57	55	128	3638	13	0	0	51	1
43	128	55	58	74	2244	9	29	1	204	4
44	129	58	59	85	918	4	118	4	102	2
45	130	60	61	115	0	0	0	0	0	0
46	131	62	60	72	0	0	1785	7	4202	9
47	132	63	64	182	5236	26	837	11	2193	16
48	133	63	65	22	0	0	0	0	0	0
49	134	66	67	26	0	0	0	0	0	0
50	135	68	69	40	0	0	0	0	0	0
51	136	70	66	97	1938	7	190	5	153	3
52	137	67	68	102	1734	8	139	4	204	4
53	138	71	72	228	9724	35	1855	30	2958	22
54	139	73	74	197	8358	20	850	4	4080	4
55	188	77	78	17	0	0	0	0	0	0
56	189	79	75	77	8130	24	1105	8	2754	6
57	190	80	81	125	7510	12	935	4	3573	10
58	191	80	77	21	0	0	0	0	0	0
59	192	75	77	60	6836	22	510	2	2040	4
60	193	81	82	70	16408	8	510	2	1020	2
61	194	83	84	175	22152	40	1932	13	4947	22
62	195	85	86	37	408	2	29	1	51	1
63	196	87	88	176	7276	31	376	12	765	15
64	197	88	72	157	11016	27	853	15	1632	14
65	198	89	90	69	2040	10	0	0	255	5
66	199	91	92	219	22351	24	1643	3	1020	2
67	200	93	94	10	0	0	0	0	0	0
68	201	94	92	170	0	0	9598	11	3919	11
69	203	95	96	84	13880	18	1275	5	1530	3
70	204	97	98	96	2652	12	399	12	306	6
71	205	99	100	76	16380	10	680	3	1020	2
72	206	98	99	26	0	0	0	0	0	0
73	209	101	102	31	0	0	0	0	0	0
74	211	103	104	56	15580	16	1020	4	2040	4
75	212	105	103	56	0	0	0	0	0	0
76	213	104	106	48	0	0	765	3	2040	4
77	215	107	108	188	7106	34	296	10	867	17
78	216	109	108	13	0	0	0	0	0	0
79	217	110	111	112	2958	15	267	9	306	6
80	218	112	113	207	15528	24	4278	7	3060	6
81	219	113	114	98	12240	6	850	4	1020	2
82	220	112	115	79	0	0	0	0	0	0
83	221	116	117	76	12240	6	1020	5	1020	2
84	222	118	119	238	25398	34	3169	17	1581	13
85	223	120	121	112	0	0	0	0	0	0
86	224	122	123	133	26871	22	3060	13	3514	11
87	225	124	30	356	24441	95	1002	33	1150	42
88	226	125	126	22	1020	1	0	0	0	0
89	227	126	127	162	10673	5	2838	7	4284	5
90	230	128	129	180	0	0	4250	10	3774	8
91	231	130	131	23	408	2	58	2	51	1
92	232	132	130	105	2244	10	280	8	255	5
93	233	133	134	213	19192	67	1503	29	3243	28
94	234	135	136	79	4590	22	318	10	539	11
95	235	137	138	46	2550	12	118	4	306	6
