ProblemType:	MC-CARP
NumberNodes:	191
NumberEdges:	267
DepotNodeNumber:	95
NumberOfFractions:	4
NumberOfIntervalsForFraction	Glass_Metal_Plastic	1	14
NumberOfIntervalsForFraction	General	1	14
NumberOfIntervalsForFraction	Organic	1	14
NumberOfIntervalsForFraction	Paper	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
	Demand_1	Bins_1
	Demand_2	Bins_2
	Demand_3	Bins_3
START
0	5	0	1	15	0	0	0	0	0	0	0	0
1	6	1	2	97	0	0	15476	28	0	0	0	0
2	7	3	4	89	0	0	0	0	0	0	0	0
3	11	5	6	54	0	0	0	0	0	0	0	0
4	12	7	8	204	1020	5	2040	2	0	0	2040	4
5	13	7	9	10	0	0	0	0	0	0	0	0
6	14	9	6	10	0	0	0	0	0	0	0	0
7	18	6	7	18	0	0	0	0	0	0	0	0
8	25	10	11	55	2295	10	16940	20	0	0	3570	7
9	26	12	10	50	0	0	0	0	0	0	0	0
10	28	13	14	99	680	2	40020	24	0	0	2040	4
11	29	14	15	35	1246	1	3104	1	0	0	1020	2
12	33	4	16	39	0	0	11724	29	0	0	0	0
13	36	16	9	17	0	0	0	0	0	0	0	0
14	49	17	18	54	0	0	0	0	0	0	0	0
15	50	18	19	17	0	0	10200	5	0	0	0	0
16	94	20	21	105	0	0	0	0	0	0	0	0
17	132	22	23	182	837	11	3910	13	1326	13	2193	16
18	133	22	24	22	0	0	0	0	0	0	0	0
19	134	25	26	26	0	0	0	0	0	0	0	0
20	135	27	28	40	0	0	0	0	0	0	0	0
21	136	29	25	97	190	5	1632	4	306	3	153	3
22	137	26	27	102	139	4	1326	4	408	4	204	4
23	203	30	31	84	1275	5	13880	18	0	0	1530	3
24	204	32	33	96	399	12	2040	6	612	6	306	6
25	205	34	35	76	680	3	16380	10	0	0	1020	2
26	206	33	34	26	0	0	0	0	0	0	0	0
27	209	36	37	31	0	0	0	0	0	0	0	0
28	211	38	39	56	1020	4	15580	16	0	0	2040	4
29	212	40	38	56	0	0	0	0	0	0	0	0
30	213	39	41	48	765	3	0	0	0	0	2040	4
31	215	42	43	188	296	10	5372	17	1734	17	867	17
32	216	44	43	13	0	0	0	0	0	0	0	0
33	217	45	46	112	267	9	2040	6	918	9	306	6
34	218	47	48	207	4278	7	15528	24	0	0	3060	6
35	219	48	49	98	850	4	12240	6	0	0	1020	2
36	220	47	50	79	0	0	0	0	0	0	0	0
37	221	51	52	76	1020	5	12240	6	0	0	1020	2
38	222	53	54	238	3169	17	24276	23	1122	11	1581	13
39	223	55	56	112	0	0	0	0	0	0	0	0
40	224	57	58	133	3060	13	26871	22	0	0	3514	11
41	225	59	17	356	1002	33	21742	50	2699	45	1150	42
42	226	60	61	22	0	0	1020	1	0	0	0	0
43	227	61	62	162	2838	7	10673	5	0	0	4284	5
44	230	63	64	180	4250	10	0	0	0	0	3774	8
45	231	65	66	23	58	2	306	1	102	1	51	1
46	232	67	65	105	280	8	1734	5	510	5	255	5
47	233	68	69	213	1503	29	16592	40	2600	27	3243	28
48	234	70	71	79	318	10	3468	11	1122	11	539	11
49	235	72	73	46	118	4	1938	6	612	6	306	6
50	239	74	75	86	1190	4	8160	4	0	0	1530	3
51	240	76	74	66	425	2	16088	10	0	0	510	1
52	313	77	78	120	1530	8	7982	20	0	0	3060	6
53	397	79	37	29	0	0	22765	8	0	0	0	0
54	398	80	36	30	425	2	0	0	0	0	1020	2
55	399	81	80	34	0	0	4896	8	0	0	0	0
56	400	80	79	26	0	0	0	0	0	0	0	0
57	401	82	79	35	425	2	6120	10	0	0	1020	2
58	402	83	68	46	29	1	3512	2	102	1	51	1
59	403	84	82	85	2720	12	33960	22	0	0	3626	10
60	404	81	85	152	2125	10	30716	26	0	0	4176	9
61	405	68	76	83	0	0	0	0	0	0	0	0
62	406	82	50	23	0	0	0	0	0	0	0	0
63	407	50	81	11	0	0	0	0	0	0	0	0
64	408	86	87	23	0	0	0	0	0	0	0	0
65	411	88	89	66	0	0	0	0	0	0	0	0
66	412	88	76	29	0	0	0	0	0	0	0	0
67	413	90	83	120	926	5	3876	3	0	0	3264	7
68	414	91	92	77	765	3	15108	11	0	0	2040	4
69	415	91	86	22	0	0	0	0	0	0	0	0
70	416	57	87	33	0	0	0	0	0	0	0	0
71	417	89	93	73	0	0	0	0	0	0	0	0
72	418	94	95	81	1530	6	14788	26	0	0	3570	7
73	419	94	92	18	0	0	0	0	0	0	0	0
74	420	96	54	94	204	2	1530	5	0	0	408	2
75	421	97	98	12	0	0	0	0	0	0	0	0
76	422	99	57	57	935	4	16320	8	0	0	1020	2
77	423	95	98	89	0	0	0	0	0	0	0	0
78	424	97	96	94	0	0	0	0	0	0	0	0
79	425	100	84	141	2040	8	14064	46	0	0	3570	7
80	464	101	40	142	148	5	2346	7	714	7	357	7
81	486	93	12	89	0	0	0	0	0	0	0	0
82	487	99	12	25	0	0	0	0	0	0	0	0
83	488	100	54	40	0	0	0	0	0	0	0	0
84	489	102	103	130	0	0	0	0	0	0	0	0
85	497	104	34	194	0	0	0	0	0	0	1530	3
86	498	26	105	103	80	2	1292	3	204	2	153	3
87	500	106	107	84	0	0	0	0	0	0	0	0
88	501	107	108	39	0	0	0	0	0	0	0	0
89	502	105	99	89	0	0	0	0	0	0	0	0
90	503	25	109	112	211	5	1122	3	510	5	102	2
91	504	110	25	146	197	6	1836	3	306	3	153	3
92	505	34	106	85	0	0	0	0	0	0	0	0
93	506	11	102	116	0	0	0	0	0	0	0	0
94	507	103	111	115	0	0	0	0	0	0	0	0
95	508	108	26	153	178	6	1530	5	510	5	255	5
96	509	104	33	190	483	4	8772	6	204	2	1122	4
97	510	33	112	95	0	0	612	2	204	2	102	2
98	511	109	12	88	0	0	0	0	0	0	0	0
99	512	112	110	120	87	3	850	3	408	4	153	3
100	513	17	113	67	272	2	24790	10	0	0	510	1
101	514	113	114	25	0	0	0	0	0	0	0	0
102	515	23	115	8	161	2	6596	5	0	0	0	0
103	516	114	116	37	29	1	306	1	102	1	51	1
104	517	117	20	57	765	2	3400	2	0	0	1020	2
105	521	118	63	156	4760	6	13872	20	0	0	1020	2
106	523	20	103	87	0	0	0	0	0	0	0	0
107	525	60	23	87	0	0	6208	2	0	0	204	1
108	526	119	120	44	0	0	0	0	0	0	0	0
109	527	120	60	28	0	0	0	0	0	0	0	0
110	528	63	119	35	816	6	14272	10	0	0	2550	5
111	529	56	118	7	0	0	0	0	0	0	0	0
112	530	2	121	81	0	0	1224	4	408	4	204	4
113	531	116	122	11	0	0	0	0	0	0	0	0
114	532	122	2	102	568	4	6732	5	204	2	612	3
115	533	123	56	81	0	0	0	0	0	0	0	0
