ProblemType:	MC-CARP
NumberNodes:	3114
NumberEdges:	3361
DepotNodeNumber:	3091
NumberOfFractions:	3
NumberOfIntervalsForFraction	General_Organic	1	14
NumberOfIntervalsForFraction	Glass_Metal_Plastic	1	14
NumberOfIntervalsForFraction	Paper	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
	Demand_1	Bins_1
	Demand_2	Bins_2
START
0	0	0	1	77	0	0	0	0	0	0
1	2	2	3	39	123	1	39	1	0	0
2	3	1	4	22	0	0	0	0	0	0
3	4	5	6	81	130	1	32	1	0	0
4	5	7	5	8	0	0	0	0	0	0
5	18	9	10	13	0	0	0	0	0	0
6	19	11	12	223	0	0	0	0	0	0
7	20	11	13	457	292	3	82	3	0	0
8	21	13	14	515	1217	4	467	4	0	0
9	22	15	16	1567	387	2	115	2	51	1
10	46	17	18	296	0	0	0	0	0	0
11	49	19	17	13	0	0	0	0	0	0
12	51	20	21	266	131	1	31	1	59	1
13	52	17	22	424	0	0	0	0	0	0
14	67	23	24	291	9508	45	2529	45	2435	18
15	68	24	25	63	1410	5	596	5	280	1
16	85	26	27	631	0	0	0	0	0	0
17	88	28	29	7	0	0	0	0	0	0
18	92	30	31	55	0	0	0	0	0	0
19	93	30	32	130	0	0	0	0	0	0
20	94	33	32	18	0	0	0	0	0	0
21	95	34	35	142	0	0	0	0	0	0
22	96	33	34	12	0	0	0	0	0	0
23	97	36	37	133	0	0	0	0	0	0
24	98	37	38	172	365	3	120	3	59	1
25	99	39	40	38	350	3	135	3	773	13
26	108	41	42	44	250	2	73	2	119	2
27	109	43	41	87	388	3	97	3	178	3
28	111	44	45	68	711	6	258	6	297	5
29	112	46	47	65	2236	19	875	19	654	11
30	113	48	49	126	1173	9	323	9	497	8
31	118	50	51	140	671	5	264	5	119	2
32	119	52	53	91	348	3	137	3	178	3
33	120	54	55	51	406	3	164	3	178	3
34	123	56	57	16	0	0	0	0	0	0
35	135	58	59	114	254	2	69	2	119	2
36	138	60	61	20	0	0	0	0	0	0
37	139	62	63	59	488	1	192	1	327	1
38	146	64	65	126	9075	5	3269	5	1993	14
39	147	65	66	61	0	0	0	0	0	0
40	149	67	68	11	412	3	158	3	0	0
41	150	68	69	103	1429	9	424	9	535	9
42	155	70	71	185	126	1	36	1	51	1
43	179	72	73	12	289	2	87	2	0	0
44	180	73	74	55	675	5	261	5	0	0
45	181	75	76	39	353	3	132	3	102	1
46	183	78	77	16	0	0	0	0	0	0
47	184	79	80	35	378	3	107	3	0	0
48	185	81	82	38	492	4	154	4	59	1
49	186	81	83	20	2110	18	797	18	0	0
50	187	84	85	33	131	1	31	1	0	0
51	195	86	87	28	125	1	37	1	0	0
52	196	88	89	81	477	4	169	4	40	1
53	197	89	90	44	240	2	83	2	0	0
54	198	90	91	15	0	0	0	0	0	0
55	199	92	93	102	764	6	290	6	110	3
56	200	93	26	48	132	1	30	1	40	1
57	201	94	95	132	0	0	0	0	0	0
58	202	96	76	57	0	0	0	0	0	0
59	203	76	97	142	623	5	185	5	59	1
60	204	96	98	25	0	0	0	0	0	0
61	205	99	80	78	355	3	130	3	0	0
62	206	80	100	21	125	1	37	1	0	0
63	207	101	85	13	0	0	0	0	0	0
64	208	85	99	141	945	9	373	9	119	2
65	209	102	103	156	385	3	100	3	59	1
