ProblemType:	MC-CARP
NumberNodes:	80
NumberEdges:	110
DepotNodeNumber:	35
NumberOfFractions:	3
NumberOfIntervalsForFraction	General_Organic	1	14
NumberOfIntervalsForFraction	Glass_Metal_Plastic	1	14
NumberOfIntervalsForFraction	Paper	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
	Demand_1	Bins_1
	Demand_2	Bins_2
START
0	25	0	1	55	16940	20	2295	10	3570	7
1	26	2	0	50	0	0	0	0	0	0
2	49	3	4	54	0	0	0	0	0	0
3	50	4	5	17	10200	5	0	0	0	0
4	132	6	7	182	5236	26	837	11	2193	16
5	133	6	8	22	0	0	0	0	0	0
6	134	9	10	26	0	0	0	0	0	0
7	135	11	12	40	0	0	0	0	0	0
8	136	13	9	97	1938	7	190	5	153	3
9	137	10	11	102	1734	8	139	4	204	4
10	211	14	15	56	15580	16	1020	4	2040	4
11	212	16	14	56	0	0	0	0	0	0
12	213	15	17	48	0	0	765	3	2040	4
13	215	18	19	188	7106	34	296	10	867	17
14	216	20	19	13	0	0	0	0	0	0
15	217	21	22	112	2958	15	267	9	306	6
16	222	23	24	238	25398	34	3169	17	1581	13
17	224	25	26	133	26871	22	3060	13	3514	11
18	225	27	3	356	24441	95	1002	33	1150	42
19	226	28	29	22	1020	1	0	0	0	0
20	408	30	31	23	0	0	0	0	0	0
21	414	32	33	77	15108	11	765	3	2040	4
22	415	32	30	22	0	0	0	0	0	0
23	416	25	31	33	0	0	0	0	0	0
24	418	34	35	81	14788	26	1530	6	3570	7
25	419	34	33	18	0	0	0	0	0	0
26	420	36	24	94	1530	5	204	2	408	2
27	421	37	38	12	0	0	0	0	0	0
28	422	39	25	57	16320	8	935	4	1020	2
29	423	35	38	89	0	0	0	0	0	0
30	424	37	36	94	0	0	0	0	0	0
31	425	40	41	141	14064	46	2040	8	3570	7
32	464	42	16	142	3060	14	148	5	357	7
33	486	43	2	89	0	0	0	0	0	0
34	487	39	2	25	0	0	0	0	0	0
35	488	40	24	40	0	0	0	0	0	0
36	498	10	44	103	1496	5	80	2	153	3
37	501	45	46	179	0	0	0	0	0	0
38	502	44	39	89	0	0	0	0	0	0
39	503	9	47	112	1632	8	211	5	102	2
40	504	48	9	146	2142	6	197	6	153	3
41	508	45	10	153	2040	10	178	6	255	5
42	511	47	2	88	0	0	0	0	0	0
43	513	3	49	67	24790	10	272	2	510	1
44	515	7	50	8	6596	5	161	2	0	0
45	525	28	7	87	6208	2	0	0	204	1
46	526	51	52	44	0	0	0	0	0	0
47	527	52	28	28	0	0	0	0	0	0
48	528	53	51	35	14272	10	816	6	2550	5
49	534	50	3	105	12240	9	680	4	510	1
50	789	54	20	140	24834	8	0	0	0	0
51	790	55	19	141	2074	10	208	7	182	4
52	792	46	56	90	1020	4	0	0	102	2
53	796	54	56	7	0	0	0	0	0	0
54	797	38	42	86	17144	19	2295	6	2040	4
55	800	42	57	104	4896	22	238	8	510	10
56	801	57	55	180	7718	35	476	16	867	17
57	802	56	55	6	0	0	0	0	0	0
58	803	40	15	83	8976	11	0	0	0	0
59	804	15	22	150	8160	8	0	0	204	1
60	806	18	58	115	1666	9	146	5	204	4
61	807	57	18	69	3706	18	238	8	459	9
62	809	58	21	40	816	4	102	2	102	2
63	811	16	58	109	6868	24	372	10	459	9
64	812	21	59	75	1564	8	280	8	204	4
65	814	36	16	88	15708	14	1241	7	1122	4
66	817	41	60	81	0	0	0	0	0	0
67	819	61	60	105	11900	7	340	2	510	1
68	822	40	61	88	0	0	0	0	0	0
