ProblemType:	MC-CARP
NumberNodes:	80
NumberEdges:	110
DepotNodeNumber:	35
NumberOfFractions:	7
NumberOfIntervalsForFraction	General	1	14
NumberOfIntervalsForFraction	Glass	1	14
NumberOfIntervalsForFraction	Metal	1	14
NumberOfIntervalsForFraction	Plastic	1	14
NumberOfIntervalsForFraction	Organic	1	14
NumberOfIntervalsForFraction	Paper	1	14
NumberOfIntervalsForFraction	Cardboard	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
	Demand_1	Bins_1
	Demand_2	Bins_2
	Demand_3	Bins_3
	Demand_4	Bins_4
	Demand_5	Bins_5
	Demand_6	Bins_6
START
0	25	0	1	55	16940	20	0	0	1020	5	1275	5	0	0	3570	7	3570	7
1	26	2	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	49	3	4	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	50	4	5	17	10200	5	0	0	0	0	0	0	0	0	0	0	0	0
4	132	6	7	182	3910	13	0	0	446	5	391	6	1326	13	2193	16	1020	2
5	133	6	8	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	134	9	10	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	135	11	12	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	136	13	9	97	1632	4	0	0	80	2	110	3	306	3	153	3	0	0
9	137	10	11	102	1326	4	0	0	59	2	80	2	408	4	204	4	0	0
10	211	14	15	56	15580	16	0	0	510	2	510	2	0	0	2040	4	5100	5
11	212	16	14	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	213	15	17	48	0	0	0	0	255	1	510	2	0	0	2040	4	2040	2
13	215	18	19	188	5372	17	0	0	148	5	148	5	1734	17	867	17	0	0
14	216	20	19	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	217	21	22	112	2040	6	0	0	119	4	148	5	918	9	306	6	0	0
16	222	23	24	238	24276	23	1870	1	505	7	794	9	1122	11	1581	13	2040	4
17	224	25	26	133	26871	22	0	0	1360	7	1700	6	0	0	3514	11	6630	10
18	225	27	3	356	21742	50	0	0	446	15	556	18	2699	45	1150	42	0	0
19	226	28	29	22	1020	1	0	0	0	0	0	0	0	0	0	0	0	0
20	408	30	31	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	414	32	33	77	15108	11	0	0	255	1	510	2	0	0	2040	4	2040	4
22	415	32	30	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	416	25	31	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	418	34	35	81	14788	26	0	0	510	2	1020	4	0	0	3570	7	3060	6
25	419	34	33	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	420	36	24	94	1530	5	0	0	102	1	102	1	0	0	408	2	0	0
27	421	37	38	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	422	39	25	57	16320	8	0	0	425	2	510	2	0	0	1020	2	1020	2
29	423	35	38	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	424	37	36	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	425	40	41	141	14064	46	0	0	1020	4	1020	4	0	0	3570	7	3060	6
32	464	42	16	142	2346	7	0	0	59	2	89	3	714	7	357	7	0	0
33	486	43	2	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	487	39	2	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	488	40	24	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	498	10	44	103	1292	3	0	0	29	1	51	1	204	2	153	3	0	0
37	501	45	46	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	502	44	39	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	503	9	47	112	1122	3	0	0	29	1	182	4	510	5	102	2	0	0
40	504	48	9	146	1836	3	0	0	88	3	109	3	306	3	153	3	0	0
41	508	45	10	153	1530	5	0	0	89	3	89	3	510	5	255	5	0	0
42	511	47	2	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	513	3	49	67	24790	10	0	0	170	1	102	1	0	0	510	1	510	1
44	515	7	50	8	6596	5	0	0	59	1	102	1	0	0	0	0	1020	2
45	525	28	7	87	6208	2	0	0	0	0	0	0	0	0	204	1	0	0
46	526	51	52	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	527	52	28	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	528	53	51	35	14272	10	0	0	510	3	306	3	0	0	2550	5	1530	3
49	534	50	3	105	12240	9	0	0	340	2	340	2	0	0	510	1	1530	3
50	789	54	20	140	24834	8	0	0	0	0	0	0	0	0	0	0	0	0
51	790	55	19	141	1564	5	0	0	89	3	119	4	510	5	182	4	0	0
52	792	46	56	90	816	2	0	0	0	0	0	0	204	2	102	2	0	0
53	796	54	56	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	797	38	42	86	17144	19	0	0	1190	3	1105	3	0	0	2040	4	5100	5
55	800	42	57	104	3978	13	0	0	119	4	119	4	918	9	510	10	0	0
56	801	57	55	180	5984	18	0	0	238	8	238	8	1734	17	867	17	0	0
57	802	56	55	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	803	40	15	83	8976	11	0	0	0	0	0	0	0	0	0	0	0	0
59	804	15	22	150	8160	8	0	0	0	0	0	0	0	0	204	1	510	1
60	806	18	58	115	1156	4	0	0	58	2	88	3	510	5	204	4	0	0
61	807	57	18	69	2788	9	0	0	119	4	119	4	918	9	459	9	0	0
62	809	58	21	40	612	2	0	0	51	1	51	1	204	2	102	2	0	0
63	811	16	58	109	5644	12	0	0	148	5	224	5	1224	12	459	9	0	0
64	812	21	59	75	1156	4	0	0	140	4	140	4	408	4	204	4	0	0
65	814	36	16	88	15708	14	0	0	425	2	816	5	0	0	1122	4	2040	4
66	817	41	60	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	819	61	60	105	11900	7	0	0	170	1	170	1	0	0	510	1	510	1
68	822	40	61	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	823	61	62	116	19380	11	850	1	357	2	425	2	0	0	1224	3	2040	4
70	841	23	63	250	9996	29	0	0	378	12	378	12	1932	24	965	25	0	0
